50:50,70:30,90:10
49.94707865158371,61.10457613122173,79.88090283397146
45.52812375671296,51.39210818989197,66.1125091396605
55.413466944910176,61.59891874093917,81.36700207532304
43.82018693511502,51.22179752232746,67.0763501826793
44.099673372596996,54.09367617476406,70.12801113177211
41.12196684745763,45.49107075088688,56.48120977059519
41.303167161333086,51.8830363614323,67.445954746699
50.31234651986249,57.26194072047364,72.14864400458364
46.9930053813077,55.93975809076923,70.35784943884615
43.82639565447627,52.794926256546646,71.03143476190671
42.460680699060845,45.554668411964066,58.834695619436495
43.92738455898437,50.08914213125,65.487797578125
52.02137402589481,60.23355406683711,76.97013839663988
54.77232507428988,59.92627515513474,79.34824536926439
47.34974078596426,54.871182459217884,71.67623680565899
51.73387161057382,61.645876909413275,81.99295317859445
47.956094939948265,50.84072240872136,65.66054808167037
